10,5,10,82
10,50,100,1339
10,50,10,107
10,50,10,106
10,50,100,1100
10,50,10,148
10,5,10,148
10,5,10,142
10,5,10,142
10,5,10,193
10,5,10,127
10,5,10,182
10,5,10,159
50,5,10,7492
10,5,10,146
10,5,10,128
10,5,10,189
10,5,10,146
3,5,10,8
2,5,10,7
8,5,1,35
8,5,1,32
10,5,10,251
10,5,1,49
10,5,1,67
10,5,2,46
10,5,2,158
10,50,100,2071
50,5,100,102918
10,55,5,95
10,55,5,38
50,10,5,5,36368
3,1,3,2,7
3,1,3,1,3
3,2,3,1,4
4,2,3,1,13
4,2,3,1,14
4,2,3,1,15
50,2,3,1,101584
50,2,3,1,102418
3,2,3,1,4
3,2,3,1,9
3,2,3,1,12
